RADIO_REF_ID,FRAC_REF_ID,IDRADIO
1740,177,02
1741,177,03
1742,177,04
1743,177,05
1744,177,06
1745,177,07
1746,177,08
1747,177,09
1748,177,10
1749,178,01
1750,178,02
1751,178,03
1752,178,04
1753,178,05
1754,178,06
1755,178,07
1756,178,08
1757,178,09
1758,178,10
1759,178,11
1760,179,01
1761,179,02
1762,179,03
1763,179,04
1764,179,05
1765,179,06
1766,179,07
1767,179,08
1768,179,09
1769,179,10
1770,179,11
1771,180,01
1772,180,02
1773,180,03
1774,180,04
1775,180,05
1776,180,06
1777,180,07
1778,180,08
1779,180,09
1780,180,10
1781,180,11
1782,181,01
1783,181,02
1784,181,03
1785,181,04
1786,181,05
1787,181,06
1788,181,07
1789,181,08
1790,181,09
1791,181,10
1792,181,11
1793,181,12
1794,181,13
1795,181,14
1796,182,01
1797,182,02
1798,182,03
1799,182,04
1800,182,05
1801,182,06
1802,182,07
1803,182,08
1804,182,09
1805,182,10
1806,182,11
1807,183,01
1808,183,02
1809,183,03
1810,183,04
1811,183,05
1812,183,06
1813,183,07
1814,183,08
1815,183,09
1816,184,01
1817,184,02
1818,184,03
1819,184,04
1820,184,05
1821,184,06
1822,184,07
1823,184,08
1824,185,01
1825,185,02
1826,185,03
1827,185,04
1828,185,05
1829,186,01
1830,186,02
1831,186,03
1832,186,04
1833,186,05
1834,186,06
1835,186,07
1836,187,01
1837,187,02
1838,187,03
1839,187,04
1840,187,05
1841,187,06
1842,187,07
1843,187,08
1844,188,01
1845,188,02
1846,188,03
1847,188,04
1848,188,05
1849,188,06
1850,188,07
1851,188,08
1852,188,09
1853,188,10
1854,189,01
1855,189,02
1856,189,03
1857,189,04
1858,189,05
1859,189,06
1860,189,07
1861,189,08
1862,189,09
1863,189,10
1864,190,01
1865,190,02
1866,190,03
1867,190,04
1868,190,05
1869,190,06
1870,190,07
1871,190,08
1872,190,09
1873,190,10
1874,191,01
1875,191,02
1876,191,03
1877,191,04
1878,191,05
1879,192,01
1880,192,02
1881,192,03
1882,192,04
1883,192,05
1884,192,06
1885,192,07
1886,192,08
1887,192,09
1888,193,01
1889,193,02
1890,193,03
1891,193,04
1892,193,05
1893,193,06
1894,193,07
1895,193,08
1896,193,09
1897,193,10
1898,193,11
1899,193,12
1900,194,01
1901,194,02
1902,194,03
1903,194,04
1904,194,05
1905,194,06
1906,194,07
1907,194,08
1908,194,09
1909,194,10
1910,194,11
1911,194,12
1912,194,13
1913,195,01
1914,195,02
1915,195,03
1916,195,04
1917,195,05
1918,195,06
1919,195,07
1920,195,08
1921,195,09
1922,195,10
1923,195,11
1924,196,01
1925,196,02
1926,196,03
1927,196,04
1928,196,05
1929,196,06
1930,196,07
1931,196,08
1932,196,09
1933,196,10
1934,196,11
1935,197,01
1936,197,02
1937,197,03
1938,197,04
1939,197,05
1940,197,06
1941,197,07
1942,197,08
1943,197,09
1944,197,10
1945,197,11
1946,197,12
1947,198,01
1948,198,02
1949,198,03
1950,198,04
1951,198,05
1952,198,06
1953,198,07
1954,198,08
1955,198,09
1956,198,10
1957,198,11
1958,198,12
1959,198,13
1960,198,14
1961,199,01
1962,199,02
1963,199,03
1964,199,04
1965,199,05
1966,199,06
1967,199,07
1968,199,08
1969,199,09
1970,199,10
1971,199,11
1972,199,12
1973,199,13
1974,200,01
1975,200,02
1976,200,03
1977,200,04
1978,200,05
1979,200,06
1980,200,07
1981,200,08
1982,200,09
1983,200,10
1984,200,11
1985,200,12
1986,200,13
1987,200,14
1988,201,01
1989,201,02
1990,201,03
1991,201,04
1992,201,05
1993,201,06
1994,201,07
1995,201,08
1996,201,09
1997,201,10
1998,201,11
1999,201,12
2000,202,01
2001,202,02
2002,202,03
2003,202,04
2004,202,05
2005,202,06
2006,202,07
2007,202,08
2008,202,09
2009,202,10
2010,202,11
2011,202,12
2012,203,01
2013,203,02
2014,203,03
2015,203,04
2016,203,05
2017,203,06
2018,203,07
2019,203,08
2020,203,09
2021,203,10
2022,203,11
2023,203,12
2024,204,01
2025,204,02
2026,204,03
2027,204,04
2028,204,05
2029,204,06
2030,204,07
2031,205,01
2032,205,02
2033,205,03
2034,205,04
2035,205,05
2036,205,06
2037,205,07
2038,205,08
2039,205,09
2040,205,10
2041,206,01
2042,206,02
2043,206,03
2044,206,04
2045,206,05
2046,206,06
2047,206,07
2048,206,08
2049,206,09
2050,206,10
2051,206,11
2052,207,01
2053,207,02
2054,207,03
2055,207,04
2056,207,05
2057,207,06
2058,207,07
2059,207,08
2060,207,09
2061,207,10
2062,207,11
2063,207,12
2064,207,13
2065,208,01
2066,208,02
2067,208,03
2068,208,04
2069,208,05
2070,208,06
2071,208,07
2072,208,08
2073,209,01
2074,209,02
2075,209,03
2076,209,04
2077,209,05
2078,209,06
2079,209,07
2080,209,08
2081,210,01
2082,210,02
2083,210,03
2084,210,04
2085,210,05
2086,210,06
2087,210,07
2088,210,08
2089,211,01
2090,211,02
2091,211,03
2092,211,04
2093,211,05
2094,211,06
2095,211,07
2096,211,08
2097,211,09
2098,212,01
2099,212,02
2100,212,03
2101,212,04
2102,212,05
2103,212,06
2104,212,07
2105,212,08
2106,212,09
2107,212,10
2108,212,11
2109,212,12
2110,212,13
2111,212,14
2112,213,01
2113,213,02
2114,213,03
2115,213,04
2116,213,05
2117,213,06
2118,213,07
2119,213,08
2120,213,09
2121,213,10
2122,213,11
