,RADIO,geometry,departamen,circuito,RADIO.CIRCUITO
235,020012007,POINT (-58.389454779996015 -34.62075619786427),Comuna 1,0017,020010017
236,020012008,POINT (-58.38803125134699 -34.62066616431799),Comuna 1,0017,020010017
237,020012009,POINT (-58.38794256409544 -34.62191414560598),Comuna 1,0017,020010017
238,020012010,POINT (-58.390109886880055 -34.622062072165456),Comuna 1,0017,020010017
239,020012101,POINT (-58.38666265916568 -34.618308505918286),Comuna 1,0017,020010017
240,020012102,POINT (-58.38365689468256 -34.61818169870738),Comuna 1,0017,020010017
241,020012103,POINT (-58.38221248146982 -34.61916121016081),Comuna 1,0017,020010017
242,020012104,POINT (-58.38365566326951 -34.61982468133004),Comuna 1,0017,020010017
243,020012105,POINT (-58.385081223404015 -34.61923607253709),Comuna 1,0017,020010017
244,020012106,POINT (-58.38660983455152 -34.61932121405054),Comuna 1,0017,020010017
245,020012107,POINT (-58.386533037350695 -34.62114650251971),Comuna 1,0017,020010017
246,020012108,POINT (-58.38509737903356 -34.62109294307644),Comuna 1,0017,020010017
247,020012109,POINT (-58.38366732987327 -34.62165423845721),Comuna 1,0017,020010017
248,020012110,POINT (-58.3822137595224 -34.6209831903095),Comuna 1,0017,020010017
253,020012205,POINT (-58.38030534891472 -34.62075367617134),Comuna 1,0017,020010017
249,020012201,POINT (-58.38008963441345 -34.61868625796935),Comuna 1,0016,020010016
250,020012202,POINT (-58.378025663091655 -34.61801887746757),Comuna 1,0016,020010016
251,020012203,POINT (-58.378003432544034 -34.61913270670639),Comuna 1,0016,020010016
252,020012204,POINT (-58.37796283027167 -34.6203025486834),Comuna 1,0016,020010016
254,020012206,POINT (-58.3793406861462 -34.62151136541389),Comuna 1,0016,020010016
255,020012207,POINT (-58.377933063235595 -34.62147988758426),Comuna 1,0016,020010016
256,020012208,POINT (-58.37854613206836 -34.622850036712194),Comuna 1,0016,020010016
258,020012210,POINT (-58.37764949067839 -34.624465900872366),Comuna 1,0016,020010016
305,020012709,POINT (-58.378732925690564 -34.626691915056064),Comuna 1,0016,020010016
306,020012710,POINT (-58.37707609033251 -34.625954971440805),Comuna 1,0016,020010016
257,020012209,POINT (-58.379939651078196 -34.62431433549486),Comuna 1,0018,020010018
307,020012801,POINT (-58.38931797246021 -34.62325786109286),Comuna 1,0018,020010018
